File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\agaphantus\jalan-kb-(1)web.jpg,561.07 KB,170.37 KB,390.71 KB,69.6%,900x600,✅ Success
villas\agaphantus\AWB_4306web.jpg,483.17 KB,68.54 KB,414.64 KB,85.8%,1306x869,✅ Success
villas\agaphantus\AWB_4272WEB.jpg,480.14 KB,42.14 KB,438.00 KB,91.2%,1061x706,✅ Success
villas\agaphantus\AWB_4268web.jpg,464.45 KB,60.37 KB,404.08 KB,87.0%,1270x845,✅ Success
villas\agaphantus\AWB_4259WEB.jpg,480.45 KB,100.46 KB,379.98 KB,79.1%,1089x725,✅ Success
villas\agaphantus\agaphantuss.jpgWEB.jpg,469.06 KB,51.40 KB,417.66 KB,89.0%,1088x606,✅ Success
villas\abutilon\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\abutilon\AWB_4788WEB.jpg,449.29 KB,68.96 KB,380.34 KB,84.7%,1210x805,✅ Success
villas\abutilon\AWB_4784WEB.jpg,459.07 KB,67.48 KB,391.59 KB,85.3%,1210x805,✅ Success
villas\abutilon\AWB_4781-(1)WEB.jpg,455.69 KB,69.45 KB,386.24 KB,84.8%,1210x805,✅ Success
villas\abutilon\AWB_4776WEB.jpg,477.53 KB,98.94 KB,378.58 KB,79.3%,1089x725,✅ Success
villas\abutilon\AWB_4769WEB.jpg,476.62 KB,74.83 KB,401.79 KB,84.3%,1210x805,✅ Success
villas\abutilon\AWB_4760WEB.jpg,492.56 KB,90.30 KB,402.27 KB,81.7%,1210x805,✅ Success
villas\abutilon\26102022035607xItWEB.jpg,563.00 KB,122.67 KB,440.33 KB,78.2%,1229x691,✅ Success
villas\allamanda\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\allamanda\KBWEB.jpg,498.53 KB,116.53 KB,382.00 KB,76.6%,715x472,✅ Success
villas\allamanda\jalan-kb-(10)web.jpg,534.62 KB,161.56 KB,373.05 KB,69.8%,571x856,✅ Success
villas\allamanda\AWB_4349.WEB.jpg,473.73 KB,80.88 KB,392.85 KB,82.9%,1179x784,✅ Success
villas\allamanda\AWB_4349.jpgweb.jpg,489.02 KB,84.68 KB,404.34 KB,82.7%,1149x764,✅ Success
villas\allamanda\AWB_4344WEB.jpg,473.73 KB,80.88 KB,392.85 KB,82.9%,1179x784,✅ Success
villas\allamanda\AWB_4341WEB.jpg,424.29 KB,68.52 KB,355.76 KB,83.8%,1128x751,✅ Success
villas\allamanda\AWB_4331WEB.jpg,485.93 KB,95.58 KB,390.34 KB,80.3%,1210x690,✅ Success
villas\allamanda\AWB_4327WEB.jpg,425.74 KB,81.88 KB,343.86 KB,80.8%,1079x718,✅ Success
MLH_BG.jpeg,122.83 KB,51.09 KB,71.75 KB,58.4%,738x1600,✅ Success
facilities\waterfall track.jpeg,161.23 KB,181.28 KB,-20530 B,-12.4%,768x768,✅ Success
facilities\Mountain Wellness.jpeg,9.69 MB,404.51 KB,9.30 MB,95.9%,6000x4000,✅ Success
resto\Batagor.jpeg,350.72 KB,91.28 KB,259.44 KB,74.0%,1600x817,✅ Success
mlh-hero.webp,1.35 MB,238.29 KB,1.12 MB,82.8%,6048x4024,✅ Success
home-page-hero.webp,317.27 KB,255.84 KB,61.43 KB,19.4%,2528x1696,✅ Success
fh-hero.webp,1.13 MB,284.07 KB,872.39 KB,75.4%,6000x4000,✅ Success
emerald-atas-hero.webp,883.54 KB,233.97 KB,649.57 KB,73.5%,6000x4000,✅ Success
membership\Stasiun-Malabar.webp,166.18 KB,91.19 KB,74.99 KB,45.1%,1236x934,✅ Success
resto\woku.webp,668.77 KB,101.18 KB,567.59 KB,84.9%,2400x1792,✅ Success
resto\Sayurasem.webp,311.39 KB,137.27 KB,174.12 KB,55.9%,1600x893,✅ Success
resto\fullmenu.webp,932.59 KB,215.19 KB,717.40 KB,76.9%,2752x1536,✅ Success
resto\Facade.webp,866.27 KB,140.29 KB,725.98 KB,83.8%,1696x2154,✅ Success
resto\BP-Luar.webp,889.47 KB,204.50 KB,684.97 KB,77.0%,1150x1725,✅ Success
resto\Batagor.webp,395.60 KB,201.40 KB,194.20 KB,49.1%,1600x817,✅ Success
