File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\selby\DSC03055WEB.jpg,482.40 KB,131.91 KB,350.49 KB,72.7%,900x506,✅ Success
villas\selby\DSC02872WEB.jpg,370.78 KB,28.93 KB,341.85 KB,92.2%,1165x777,✅ Success
villas\selby\DSC02837WEB.jpg,414.99 KB,60.87 KB,354.12 KB,85.3%,1165x777,✅ Success
villas\selby\DSC02805WEB.jpg,463.24 KB,78.90 KB,384.34 KB,83.0%,1165x777,✅ Success
villas\selby\DSC02763WEB.jpg,453.92 KB,61.50 KB,392.42 KB,86.5%,1271x847,✅ Success
villas\selby\DSC02726WEB.jpg,265.46 KB,49.43 KB,216.03 KB,81.4%,874x583,✅ Success
villas\selby\DSC00238WEB.jpg,568.32 KB,80.06 KB,488.26 KB,85.9%,1146x764,✅ Success
villas\roussillon\hero.jpg,473.95 KB,47.37 KB,426.59 KB,90.0%,1146x764,✅ Success
villas\roussillon\DSC07418.WEB.jpg,493.32 KB,109.39 KB,383.93 KB,77.8%,678x452,✅ Success
villas\roussillon\DSC07140WEB.jpg,493.47 KB,37.91 KB,455.56 KB,92.3%,870x580,✅ Success
villas\roussillon\DSC07125WEB.jpg,482.50 KB,40.64 KB,441.86 KB,91.6%,876x584,✅ Success
villas\roussillon\DSC07088WEB.WEB.jpg,337.68 KB,47.23 KB,290.45 KB,86.0%,819x546,✅ Success
villas\roussillon\DSC07080WEB.jpg,453.49 KB,70.09 KB,383.40 KB,84.5%,900x600,✅ Success
villas\roussillon\DSC07070WEB.jpg,474.63 KB,45.10 KB,429.53 KB,90.5%,1008x672,✅ Success
villas\roussillon\DSC07004WEB.jpg,473.95 KB,47.37 KB,426.59 KB,90.0%,1146x764,✅ Success
villas\riverside-fiore\Rsv-11kompres.WEB.jpg,457.10 KB,96.04 KB,361.06 KB,79.0%,693x462,✅ Success
villas\riverside-fiore\RSV---Bathroom-1WEB.jpg,499.03 KB,43.07 KB,455.96 KB,91.4%,1512x1006,✅ Success
villas\riverside-fiore\FIORE---Upstairs-3WEB.jpg,397.87 KB,52.46 KB,345.41 KB,86.8%,1028x684,✅ Success
villas\riverside-fiore\FIORE---Upstairs-2WEB.jpg,399.00 KB,53.36 KB,345.64 KB,86.6%,1028x684,✅ Success
villas\riverside-fiore\FIORE---Mix-Interior-6WEB.jpg,408.14 KB,51.80 KB,356.34 KB,87.3%,1028x684,✅ Success
villas\riverside-fiore\FIORE---Master-Bedroom-4WEB.jpg,392.39 KB,47.41 KB,344.98 KB,87.9%,1089x725,✅ Success
villas\riverside-fiore\FIORE---Master-Bedroom-2WEB.jpg,472.97 KB,70.60 KB,402.37 KB,85.1%,1028x684,✅ Success
villas\riverside-fiore\FIORE---Living-Room-1WEB.jpg,428.27 KB,76.29 KB,351.98 KB,82.2%,907x603,✅ Success
villas\russelia\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\russelia\Russelia-7.WEB.jpg,499.50 KB,65.49 KB,434.00 KB,86.9%,974x649,✅ Success
villas\russelia\jalan-kb-(10)web.jpg,534.62 KB,161.56 KB,373.05 KB,69.8%,571x856,✅ Success
villas\russelia\AWB_4884WEB.jpg,479.95 KB,59.02 KB,420.93 KB,87.7%,937x623,✅ Success
villas\russelia\AWB_4879WEB.jpg,479.86 KB,53.32 KB,426.54 KB,88.9%,968x644,✅ Success
villas\russelia\AWB_4869WEB.jpg,495.76 KB,62.57 KB,433.19 KB,87.4%,1003x564,✅ Success
villas\russelia\AWB_4859WWEB.jpg,465.47 KB,52.54 KB,412.93 KB,88.7%,998x664,✅ Success
villas\russelia\AWB_4851WEB.jpg,501.29 KB,60.48 KB,440.81 KB,87.9%,998x664,✅ Success
villas\riverside-blomst\BLOMST---Upstairs-5.WEB.jpg,497.14 KB,48.45 KB,448.69 KB,90.3%,1325x882,✅ Success
villas\riverside-blomst\BLOMST---Upstairs-2WEB.jpg,473.25 KB,61.26 KB,411.99 KB,87.1%,1083x721,✅ Success
villas\riverside-blomst\BLOMST---Second-Master-Bedroom-1WEB.jpg,469.37 KB,59.70 KB,409.67 KB,87.3%,1210x805,✅ Success
villas\riverside-blomst\BLOMST---Mix-Interior-5WEB.jpg,500.07 KB,62.78 KB,437.29 KB,87.4%,1149x764,✅ Success
villas\riverside-blomst\BLOMST---Master-Bedroom-8WEB.jpg,466.41 KB,72.19 KB,394.22 KB,84.5%,1028x684,✅ Success
villas\riverside-blomst\BLOMST---Master-Bedroom-13WEB.jpg,454.82 KB,69.29 KB,385.52 KB,84.8%,986x656,✅ Success
villas\riverside-blomst\BLOMST---Living-Room-1WEB.jpg,474.27 KB,70.39 KB,403.88 KB,85.2%,1028x684,✅ Success
villas\riverside-hana\Rsv-11kompres.WEB.jpg,457.10 KB,96.04 KB,361.06 KB,79.0%,693x462,✅ Success
villas\riverside-hana\RSV---Bathroom-1WEB.jpg,499.03 KB,43.07 KB,455.96 KB,91.4%,1512x1006,✅ Success
villas\riverside-hana\HANA---Up-3WEB.jpg,416.09 KB,65.12 KB,350.96 KB,84.3%,907x603,✅ Success
villas\riverside-hana\HANA---Sc-MB-3WEB.jpg,303.29 KB,38.64 KB,264.66 KB,87.3%,907x603,✅ Success
villas\riverside-hana\HANA---Sc-MB-2WEB.jpg,340.49 KB,42.42 KB,298.07 KB,87.5%,1028x684,✅ Success
villas\riverside-hana\HANA---Mix-Interior-3WEB.jpg,9.38 MB,113.94 KB,9.27 MB,98.8%,6048x4024,✅ Success
villas\riverside-hana\HANA---MB-7WEB.jpg,391.78 KB,59.95 KB,331.82 KB,84.7%,907x603,✅ Success
villas\riverside-hana\HANA---KTC-2WEB.jpg,312.30 KB,43.78 KB,268.53 KB,86.0%,907x603,✅ Success
villas\philodendron\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\philodendron\Philodendron-4.WEB.jpg,444.29 KB,65.24 KB,379.05 KB,85.3%,851x567,✅ Success
villas\philodendron\KB---View-2.WEB.jpg,496.53 KB,251.77 KB,244.75 KB,49.3%,1257x706,✅ Success
villas\philodendron\AWB_4829WEB.jpg,467.94 KB,61.78 KB,406.15 KB,86.8%,1016x571,✅ Success
villas\philodendron\AWB_4829.WEB.jpg,494.87 KB,64.80 KB,430.07 KB,86.9%,1045x588,✅ Success
villas\philodendron\AWB_4804web.jpg,482.01 KB,60.17 KB,421.84 KB,87.5%,1014x570,✅ Success
villas\philodendron\AWB_4800WEB.jpg,493.78 KB,52.36 KB,441.42 KB,89.4%,998x664,✅ Success
villas\philodendron\AWB_4795WEB.jpg,477.99 KB,51.22 KB,426.76 KB,89.3%,1094x615,✅ Success
villas\philodendron\AWB_4792WEB.jpg,496.13 KB,70.75 KB,425.38 KB,85.7%,907x603,✅ Success
villas\mooi-lake\pink-bedroom1WEB.jpg,482.33 KB,48.86 KB,433.47 KB,89.9%,1140x760,✅ Success
villas\mooi-lake\livingroom2.WEB.jpg,422.26 KB,58.38 KB,363.88 KB,86.2%,1045x686,✅ Success
villas\mooi-lake\DSC06446-01WEB.jpg,477.26 KB,60.91 KB,416.35 KB,87.2%,1113x737,✅ Success
villas\mooi-lake\DSC06382-01WEB.jpg,440.80 KB,46.55 KB,394.25 KB,89.4%,1200x800,✅ Success
villas\mooi-lake\DSC06182-01WEB.jpg,451.61 KB,49.29 KB,402.32 KB,89.1%,1162x775,✅ Success
